img_path,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
training_images/TOX27930.png,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
training_images/TOX25380.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
training_images/TOX6851.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX108.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX11460.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX6368.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX1709.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX28117.png,0.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0
training_images/TOX5111.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
training_images/TOX27630.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
training_images/TOX28626.png,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0
training_images/TOX25964.png,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
training_images/TOX29378.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX4773.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX29290.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX24851.png,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0
training_images/TOX28480.png,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0
training_images/TOX3243.png,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
training_images/TOX315.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX7981.png,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX5269.png,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
training_images/TOX11591.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX21413.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX25855.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0
training_images/TOX4555.png,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
training_images/TOX31546.png,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
training_images/TOX28921.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0
training_images/TOX6307.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX27031.png,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
training_images/TOX26856.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0
training_images/TOX2742.png,0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
training_images/TOX24831.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX25569.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0
training_images/TOX3749.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX28495.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX24573.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0
training_images/TOX1517.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX149.png,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
training_images/TOX1121.png,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
training_images/TOX24656.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
training_images/TOX11131.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX28185.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX23761.png,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
training_images/TOX21884.png,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0
training_images/TOX22276.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX13538.png,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0
training_images/TOX65.png,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
training_images/TOX3883.png,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
training_images/TOX26720.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0
training_images/TOX26470.png,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0
training_images/TOX1751.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
training_images/TOX25768.png,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
training_images/TOX28983.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0
training_images/TOX26213.png,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0
training_images/TOX26989.png,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX29352.png,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
training_images/TOX26763.png,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0
training_images/TOX26624.png,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0
training_images/TOX24402.png,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX31433.png,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0
training_images/TOX26113.png,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0
training_images/TOX24536.png,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0
training_images/TOX12647.png,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0
training_images/TOX25201.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX28634.png,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
training_images/TOX27424.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX25600.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX26277.png,0.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,1.0,-1.0
training_images/TOX25244.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0
training_images/TOX971.png,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
training_images/TOX4692.png,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX205.png,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX24227.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX3031.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX29349.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX4937.png,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
training_images/TOX27517.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
training_images/TOX26274.png,0.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0
training_images/TOX26196.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX5063.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX24701.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX27078.png,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX28564.png,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX9117.png,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
training_images/TOX4911.png,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,-1.0
training_images/TOX31604.png,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
training_images/TOX3612.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX26768.png,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,-1.0
training_images/TOX7822.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX24879.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX7099.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
training_images/TOX14665.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX3899.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
training_images/TOX14614.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX7551.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX26657.png,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0
training_images/TOX27030.png,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX25354.png,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0
training_images/TOX24409.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX26678.png,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX15160.png,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX18696.png,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX4452.png,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
training_images/TOX28756.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
training_images/TOX631.png,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
training_images/TOX25764.png,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0
training_images/TOX26024.png,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX267.png,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,-1.0
training_images/TOX927.png,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX39.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
training_images/TOX707.png,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0
